date,Open,High,Low,Close,Volume
2023-08-10 12:00:00,0.572,0.5977,0.5439,0.5958,41307397.0
2023-08-10 13:00:00,0.5958,0.6185,0.586,0.608,94524644.0
2023-08-10 14:00:00,0.6081,0.6153,0.587,0.6147,55436096.0
2023-08-10 15:00:00,0.6148,0.6175,0.5968,0.605,39071539.0
2023-08-10 16:00:00,0.6051,0.6115,0.597,0.6044,32874933.0
2023-08-10 17:00:00,0.6043,0.6108,0.592,0.6005,29912101.0
2023-08-10 18:00:00,0.6005,0.6011,0.5835,0.5915,22023699.0
2023-08-10 19:00:00,0.5916,0.608,0.5866,0.6047,15897967.0
2023-08-10 20:00:00,0.6048,0.6386,0.6015,0.6244,48463705.0
2023-08-10 21:00:00,0.6244,0.627,0.6124,0.6184,21261457.0
2023-08-10 22:00:00,0.6184,0.623,0.6105,0.6196,14882389.0
2023-08-10 23:00:00,0.6196,0.6224,0.6125,0.6186,10788154.0
2023-08-11 00:00:00,0.6184,0.6292,0.612,0.6204,20040697.0
2023-08-11 01:00:00,0.6202,0.6346,0.5851,0.5908,55332577.0
2023-08-11 02:00:00,0.5908,0.5913,0.472,0.545,110275812.0
2023-08-11 03:00:00,0.545,0.549,0.5374,0.5394,15342229.0
2023-08-11 04:00:00,0.5394,0.5447,0.5275,0.5329,20175085.0
2023-08-11 05:00:00,0.533,0.5396,0.5313,0.535,10132056.0
2023-08-11 06:00:00,0.5349,0.535,0.5091,0.5287,26816245.0
2023-08-11 07:00:00,0.5286,0.531,0.518,0.527,12545985.0
2023-08-11 08:00:00,0.527,0.5278,0.5066,0.5247,24696835.0
2023-08-11 09:00:00,0.5247,0.5344,0.5196,0.524,12352164.0
2023-08-11 10:00:00,0.524,0.5284,0.5125,0.5269,8532863.0
2023-08-11 11:00:00,0.5271,0.5278,0.5155,0.5174,8290346.0
2023-08-11 12:00:00,0.5176,0.5272,0.5163,0.5216,10602155.0
2023-08-11 13:00:00,0.5216,0.5332,0.5172,0.5279,9249792.0
2023-08-11 14:00:00,0.5278,0.5549,0.5252,0.5404,37922715.0
2023-08-11 15:00:00,0.5404,0.561,0.5339,0.5404,35470184.0
