date,Open,High,Low,Close,Volume
2023-04-30 12:00:00,1.3321,1.625,1.3321,1.4694,21697672.0
2023-04-30 13:00:00,1.47,1.4884,1.4306,1.4584,16206954.0
2023-04-30 14:00:00,1.4583,1.485,1.4347,1.4806,12242277.0
2023-04-30 15:00:00,1.4804,1.5192,1.4561,1.4693,20108028.0
2023-04-30 16:00:00,1.4686,1.4839,1.44,1.4546,10884453.0
2023-04-30 17:00:00,1.4545,1.4645,1.4213,1.446,9133176.0
2023-04-30 18:00:00,1.4463,1.48,1.43,1.4531,5914635.0
2023-04-30 19:00:00,1.4529,1.476,1.4425,1.471,5584651.0
2023-04-30 20:00:00,1.471,1.472,1.3958,1.4322,9644101.0
2023-04-30 21:00:00,1.4322,1.4329,1.3789,1.408,8926773.0
2023-04-30 22:00:00,1.408,1.4273,1.3892,1.3951,5337729.0
2023-04-30 23:00:00,1.3951,1.42,1.3506,1.3595,7768612.0
2023-05-01 00:00:00,1.3595,1.375,1.191,1.2394,33115764.0
2023-05-01 01:00:00,1.2392,1.2494,1.161,1.2008,18389822.0
2023-05-01 02:00:00,1.2004,1.2535,1.2001,1.2432,13875362.0
2023-05-01 03:00:00,1.2432,1.254,1.23,1.2321,6388023.0
2023-05-01 04:00:00,1.2329,1.2495,1.199,1.239,7170047.0
2023-05-01 05:00:00,1.239,1.2449,1.2121,1.2163,4846496.0
2023-05-01 06:00:00,1.2169,1.2292,1.2116,1.2179,4403578.0
2023-05-01 07:00:00,1.2178,1.2182,1.19,1.2151,9101239.0
2023-05-01 08:00:00,1.2151,1.2195,1.194,1.2048,7556982.0
2023-05-01 09:00:00,1.2047,1.2481,1.1769,1.2321,18403087.0
2023-05-01 10:00:00,1.232,1.2325,1.2038,1.2046,7774501.0
2023-05-01 11:00:00,1.2043,1.223,1.191,1.218,7073802.0
2023-05-01 12:00:00,1.2187,1.2406,1.2005,1.23,11114821.0
2023-05-01 13:00:00,1.23,1.239,1.2208,1.2272,5580957.0
2023-05-01 14:00:00,1.2264,1.2362,1.212,1.2217,5969902.0
2023-05-01 15:00:00,1.2218,1.225,1.196,1.2125,10566710.0
2023-05-01 16:00:00,1.2131,1.2175,1.1825,1.212,11552465.0
2023-05-01 17:00:00,1.2127,1.24,1.212,1.2214,10242546.0
2023-05-01 18:00:00,1.2214,1.2266,1.208,1.2124,4655240.0
2023-05-01 19:00:00,1.2124,1.23,1.1958,1.2213,8436841.0
2023-05-01 20:00:00,1.2212,1.2324,1.2006,1.2098,6050804.0
2023-05-01 21:00:00,1.2097,1.238,1.2088,1.2305,6072873.0
2023-05-01 22:00:00,1.2304,1.2715,1.23,1.2607,13808690.0
2023-05-01 23:00:00,1.2607,1.269,1.24,1.2483,7172594.0
2023-05-02 00:00:00,1.2484,1.272,1.231,1.2588,8887129.0
2023-05-02 01:00:00,1.2589,1.2591,1.209,1.2269,9433523.0
2023-05-02 02:00:00,1.227,1.2469,1.2231,1.2418,4265272.0
2023-05-02 03:00:00,1.2414,1.2469,1.2266,1.2367,3444865.0
2023-05-02 04:00:00,1.2368,1.2372,1.2177,1.2268,2888852.0
2023-05-02 05:00:00,1.2265,1.25,1.2145,1.2458,5781407.0
2023-05-02 06:00:00,1.2458,1.2697,1.2406,1.2601,9116650.0
2023-05-02 07:00:00,1.26,1.3092,1.2522,1.2971,21353578.0
2023-05-02 08:00:00,1.2971,1.314,1.2811,1.283,15459496.0
2023-05-02 09:00:00,1.2827,1.292,1.27,1.2764,9776106.0
2023-05-02 10:00:00,1.2764,1.2848,1.2507,1.2566,9698928.0
2023-05-02 11:00:00,1.2567,1.2677,1.2263,1.2461,7976995.0
2023-05-02 12:00:00,1.246,1.2641,1.2304,1.2552,9221818.0
2023-05-02 13:00:00,1.2553,1.2615,1.2351,1.236,5825087.0
2023-05-02 14:00:00,1.2363,1.2615,1.22,1.2454,13656180.0
2023-05-02 15:00:00,1.2455,1.2529,1.23,1.2479,6882794.0
2023-05-02 16:00:00,1.2479,1.252,1.2318,1.2372,3967823.0
2023-05-02 17:00:00,1.2369,1.2399,1.224,1.2341,3653288.0
2023-05-02 18:00:00,1.234,1.249,1.23,1.2438,3479602.0
2023-05-02 19:00:00,1.2441,1.2575,1.2404,1.2452,3649428.0
2023-05-02 20:00:00,1.2452,1.2519,1.2342,1.2418,2437811.0
2023-05-02 21:00:00,1.2419,1.2527,1.2366,1.2424,1577664.0
2023-05-02 22:00:00,1.2424,1.255,1.2424,1.2517,1791132.0
2023-05-02 23:00:00,1.2514,1.2575,1.24,1.2415,2414684.0
2023-05-03 00:00:00,1.2409,1.2533,1.2065,1.2154,5969591.0
2023-05-03 01:00:00,1.2154,1.2275,1.2068,1.2205,4492460.0
2023-05-03 02:00:00,1.2207,1.2239,1.207,1.2185,3267605.0
2023-05-03 03:00:00,1.2184,1.2185,1.2068,1.2113,2269068.0
2023-05-03 04:00:00,1.2113,1.2113,1.185,1.198,8338428.0
2023-05-03 05:00:00,1.1975,1.2048,1.1904,1.1992,3141658.0
2023-05-03 06:00:00,1.1991,1.2,1.1783,1.1879,6873553.0
2023-05-03 07:00:00,1.188,1.1929,1.1785,1.1835,4706414.0
2023-05-03 08:00:00,1.1838,1.2085,1.172,1.2048,7954228.0
2023-05-03 09:00:00,1.2048,1.21,1.1966,1.2019,3976338.0
2023-05-03 10:00:00,1.2019,1.2146,1.1992,1.2033,4557220.0
2023-05-03 11:00:00,1.203,1.2065,1.1534,1.1624,12045643.0
2023-05-03 12:00:00,1.1625,1.163,1.1038,1.1139,29656027.0
2023-05-03 13:00:00,1.1138,1.1265,1.1079,1.1141,7806262.0
2023-05-03 14:00:00,1.1141,1.116,1.0888,1.0997,11415091.0
2023-05-03 15:00:00,1.0998,1.108,1.0812,1.0986,10927580.0
2023-05-03 16:00:00,1.0983,1.1199,1.0951,1.1162,8718320.0
2023-05-03 17:00:00,1.1161,1.1221,1.0931,1.0979,7830346.0
2023-05-03 18:00:00,1.0979,1.149,1.0972,1.1362,12058744.0
2023-05-03 19:00:00,1.1365,1.1371,1.112,1.1241,5576346.0
2023-05-03 20:00:00,1.1241,1.1373,1.1171,1.1294,3738847.0
